x,y,_index
3030,5220,17523466574700
2430,5220,17523466575300
1650,5220,17523466576080
1050,5220,17523466576680
450,5220,17523466577280
6840,5190,17652315589770
6060,5190,17652315590550
5250,5190,17652315591360
4020,5190,17652315592590
3420,5190,17652315593190
2820,5190,17652315593790
2010,5190,17652315594600
1410,5190,17652315595200
810,5190,17652315595800
210,5190,17652315596400
6600,5160,17781164608890
5610,5160,17781164609880
4800,5160,17781164610690
3780,5160,17781164611710
3180,5160,17781164612310
2580,5160,17781164612910
1770,5160,17781164613720
1170,5160,17781164614320
570,5160,17781164614920
6990,5130,17910013627380
6210,5130,17910013628160
5580,5130,17910013628790
4770,5130,17910013629600
3810,5130,17910013630560
3210,5130,17910013631160
2610,5130,17910013631760
1800,5130,17910013632570
1140,5130,17910013633230
540,5130,17910013633830
6990,5100,18038862646260
6210,5100,18038862647040
5610,5100,18038862647640
5010,5100,18038862648240
3990,5100,18038862649260
3390,5100,18038862649860
2790,5100,18038862650460
1980,5100,18038862651270
1320,5100,18038862651930
720,5100,18038862652530
7230,5070,18167711664900
6630,5070,18167711665500
5850,5070,18167711666280
5250,5070,18167711666880
4620,5070,18167711667510
3750,5070,18167711668380
3150,5070,18167711668980
2550,5070,18167711669580
1740,5070,18167711670390
1050,5070,18167711671080
450,5070,18167711671680
6960,5040,18296560684050
6180,5040,18296560684830
5580,5040,18296560685430
4980,5040,18296560686030
4110,5040,18296560686900
3510,5040,18296560687500
2910,5040,18296560688100
2310,5040,18296560688700
1470,5040,18296560689540
870,5040,18296560690140
270,5040,18296560690740
6780,5010,18425409703110
6000,5010,18425409703890
5400,5010,18425409704490
4800,5010,18425409705090
3990,5010,18425409705900
3390,5010,18425409706500
2790,5010,18425409707100
2070,5010,18425409707820
1380,5010,18425409708510
780,5010,18425409709110
180,5010,18425409709710
6690,4980,18554258722080
5880,4980,18554258722890
5280,4980,18554258723490
4680,4980,18554258724090
3900,4980,18554258724870
3300,4980,18554258725470
2700,4980,18554258726070
2040,4980,18554258726730
1320,4980,18554258727450
720,4980,18554258728050
7230,4950,18683107740420
